Random number seed:  2997058579942705932
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
   150.0 	    30.0 	0.196 	0.743  	3.370
   175.0 	    30.0 	0.212 	0.780  	3.372
   200.0 	    30.0 	0.226 	0.794  	3.374
   250.0 	    30.0 	0.247 	0.793  	3.377
   300.0 	    30.0 	0.250 	0.790  	3.380
   350.0 	    30.0 	0.257 	0.761  	3.383
   400.0 	    30.0 	0.279 	0.738  	3.387
   500.0 	    30.0 	0.283 	0.697  	3.392
   800.0 	    30.0 	0.292 	0.546  	3.399
  1000.0 	    30.0 	0.291 	0.461  	3.408
  1500.0 	    30.0 	0.293 	0.360  	3.421
  2000.0 	    30.0 	0.273 	0.266  	3.439
  3500.0 	    30.0 	0.257 	0.157  	3.468
  5000.0 	    30.0 	0.242 	0.119  	3.510
  8000.0 	    30.0 	0.240 	0.074  	3.575
 10000.0 	    30.0 	0.240 	0.068  	3.654
 15000.0 	    30.0 	0.225 	0.045  	3.773
 20000.0 	    30.0 	0.230 	0.032  	3.929
 29975.0 	    30.0 	0.219 	0.026  	4.162
     1.0 	    40.0 	0.000 	0.025  	4.162
     5.0 	    40.0 	0.000 	0.061  	4.163
    10.0 	    40.0 	0.000 	0.105  	4.163
    20.0 	    40.0 	0.000 	0.183  	4.163
    35.0 	    40.0 	0.000 	0.326  	4.164
    50.0 	    40.0 	0.000 	0.456  	4.165
    75.0 	    40.0 	0.059 	0.580  	4.166
   100.0 	    40.0 	0.133 	0.662  	4.167
   125.0 	    40.0 	0.175 	0.722  	4.169
   150.0 	    40.0 	0.196 	0.780  	4.171
   175.0 	    40.0 	0.218 	0.825  	4.173
   200.0 	    40.0 	0.233 	0.846  	4.175
   250.0 	    40.0 	0.256 	0.854  	4.178
   300.0 	    40.0 	0.275 	0.836  	4.181
   350.0 	    40.0 	0.288 	0.831  	4.184
   400.0 	    40.0 	0.300 	0.783  	4.188
   500.0 	    40.0 	0.311 	0.752  	4.193
   800.0 	    40.0 	0.320 	0.605  	4.200
  1000.0 	    40.0 	0.321 	0.525  	4.208
  1500.0 	    40.0 	0.326 	0.387  	4.221
  2000.0 	    40.0 	0.320 	0.322  	4.238
  3500.0 	    40.0 	0.297 	0.199  	4.266
  5000.0 	    40.0 	0.292 	0.133  	4.305
  8000.0 	    40.0 	0.285 	0.089  	4.367
 10000.0 	    40.0 	0.281 	0.072  	4.442
 15000.0 	    40.0 	0.270 	0.053  	4.554
 20000.0 	    40.0 	0.265 	0.036  	4.702
 29975.0 	    40.0 	0.259 	0.031  	4.924
     1.0 	    50.0 	0.000 	0.025  	4.925
     5.0 	    50.0 	0.000 	0.064  	4.925
    10.0 	    50.0 	0.000 	0.097  	4.925
    20.0 	    50.0 	-0.000 	0.187  	4.926
    35.0 	    50.0 	-0.000 	0.334  	4.926
    50.0 	    50.0 	-0.000 	0.462  	4.927
    75.0 	    50.0 	0.063 	0.588  	4.928
   100.0 	    50.0 	0.136 	0.689  	4.929
   125.0 	    50.0 	0.180 	0.771  	4.931
   150.0 	    50.0 	0.212 	0.828  	4.932
   175.0 	    50.0 	0.236 	0.862  	4.934
   200.0 	    50.0 	0.255 	0.895  	4.936
   250.0 	    50.0 	0.278 	0.927  	4.939
   300.0 	    50.0 	0.290 	0.905  	4.942
   350.0 	    50.0 	0.317 	0.890  	4.945
   400.0 	    50.0 	0.323 	0.894  	4.949
   500.0 	    50.0 	0.350 	0.843  	4.954
   800.0 	    50.0 	0.363 	0.702  	4.961
  1000.0 	    50.0 	0.378 	0.601  	4.969
  1500.0 	    50.0 	0.388 	0.454  	4.981
