Random number seed:  -8704197715963060969
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
   150.0 	    30.0 	0.190 	0.552  	3.281
   175.0 	    30.0 	0.203 	0.585  	3.283
   200.0 	    30.0 	0.231 	0.584  	3.285
   250.0 	    30.0 	0.235 	0.595  	3.287
   300.0 	    30.0 	0.254 	0.572  	3.290
   350.0 	    30.0 	0.263 	0.554  	3.294
   400.0 	    30.0 	0.268 	0.539  	3.298
   500.0 	    30.0 	0.278 	0.493  	3.303
   800.0 	    30.0 	0.293 	0.410  	3.310
  1000.0 	    30.0 	0.287 	0.342  	3.319
  1500.0 	    30.0 	0.281 	0.244  	3.332
  2000.0 	    30.0 	0.284 	0.196  	3.349
  3500.0 	    30.0 	0.253 	0.118  	3.379
  5000.0 	    30.0 	0.246 	0.081  	3.421
  8000.0 	    30.0 	0.248 	0.053  	3.486
 10000.0 	    30.0 	0.236 	0.047  	3.567
 15000.0 	    30.0 	0.223 	0.030  	3.691
 20000.0 	    30.0 	0.228 	0.025  	3.849
 29975.0 	    30.0 	0.211 	0.015  	4.073
     1.0 	    40.0 	0.480 	0.007  	4.073
     5.0 	    40.0 	0.207 	0.035  	4.073
    10.0 	    40.0 	0.112 	0.066  	4.073
    20.0 	    40.0 	0.046 	0.127  	4.074
    35.0 	    40.0 	0.022 	0.244  	4.074
    50.0 	    40.0 	0.014 	0.344  	4.075
    75.0 	    40.0 	0.061 	0.436  	4.076
   100.0 	    40.0 	0.135 	0.504  	4.077
   125.0 	    40.0 	0.169 	0.554  	4.079
   150.0 	    40.0 	0.192 	0.594  	4.080
   175.0 	    40.0 	0.222 	0.609  	4.082
   200.0 	    40.0 	0.228 	0.624  	4.084
   250.0 	    40.0 	0.252 	0.639  	4.087
   300.0 	    40.0 	0.281 	0.626  	4.090
   350.0 	    40.0 	0.275 	0.617  	4.093
   400.0 	    40.0 	0.291 	0.597  	4.097
   500.0 	    40.0 	0.303 	0.528  	4.102
   800.0 	    40.0 	0.312 	0.446  	4.109
  1000.0 	    40.0 	0.318 	0.369  	4.117
  1500.0 	    40.0 	0.321 	0.274  	4.130
  2000.0 	    40.0 	0.321 	0.218  	4.145
