x, y
50.11600928074246, 1.504032258064516
100.23201856148492, 1.7943548387096773
152.43619489559165, 2.0524193548387095
200.46403712296984, 2.1411290322580645
250.58004640371232, 2.165322580645161
304.8723897911833, 2.1169354838709675
350.81206496519724, 2.092741935483871
398.8399071925754, 2.0201612903225805
448.9559164733179, 1.935483870967742
501.16009280742463, 1.879032258064516
551.2761020881671, 1.8024193548387095
599.3039443155453, 1.7620967741935483
649.4199535962878, 1.7056451612903225
701.6241299303945, 1.661290322580645
751.7401392111369, 1.6129032258064515
801.8561484918794, 1.5846774193548387
849.8839907192577, 1.5443548387096773
902.0881670533644, 1.5080645161290323
952.2041763341068, 1.4838709677419355
1002.3201856148493, 1.467741935483871
1052.4361948955918, 1.4475806451612903
1102.5522041763343, 1.4274193548387097
1150.5800464037125, 1.4032258064516128
1202.7842227378192, 1.3951612903225805
1250.8120649651974, 1.375
1300.9280742459398, 1.3629032258064515
1351.0440835266822, 1.3548387096774193
1401.1600928074247, 1.3346774193548387
1449.1879350348029, 1.3266129032258065
1503.4802784222738, 1.310483870967742
1551.508120649652, 1.2983870967741935
1599.5359628770302, 1.2943548387096775
1651.7401392111371, 1.2782258064516128
1701.8561484918796, 1.2741935483870968
1751.972157772622, 1.2580645161290323
1797.911832946636, 1.25
